time,text_tokens,total_consumed_tokens,total_loss,reduced_llm_loss,reduced_balancing_loss,loss,maxvio,efficient_attn_ratio,grad_norm,max_memory_GB,reserved_memory_GB,tgs,e2e_tgs
9.6892,42473.0,3608001.0,1.07268453,1.02386463,0.04881987,0.00569623,0.77347988,0.44169930,0.75017691,38.31,45.96,4383.6,4130.0
9.7516,43548.0,3651549.0,1.08308339,1.03441668,0.04866671,0.00939478,0.74451625,0.44458020,0.84190321,38.39,45.96,4465.7,4133.7
9.9211,33599.0,3685148.0,1.10539198,1.05679989,0.04859203,0.00744676,0.75994968,0.50032157,0.73323399,38.31,45.96,3386.6,4125.4
10.0680,48544.0,3733692.0,1.09327579,1.04479742,0.04847841,0.00815660,0.70415783,0.48607236,0.66081333,38.89,45.96,4821.6,4133.1
9.8961,46566.0,3780258.0,1.06504166,1.01630223,0.04873947,0.00673424,0.68156642,0.46407518,0.81843853,38.69,45.96,4705.5,4139.3
9.9249,60905.0,3841163.0,1.10723710,1.05894041,0.04829667,0.00813716,0.70216912,0.44141209,0.59020275,40.15,45.96,6136.6,4160.8
10.1519,63579.0,3904742.0,1.11792409,1.06966352,0.04826054,0.00882021,0.68645489,0.47332436,0.61205655,40.42,45.96,6262.7,4183.6
9.9188,33599.0,3938341.0,1.10605025,1.05772066,0.04832957,0.00667266,0.64554691,0.50032157,0.87807518,38.31,45.96,3387.4,4175.2
9.7905,44855.0,3983196.0,1.10249424,1.05436337,0.04813088,0.01025102,0.60804534,0.45092052,0.61095649,38.52,45.96,4581.5,4179.4
9.9246,33603.0,4016799.0,1.06254327,1.01397431,0.04856881,0.00931999,0.62266028,0.50032467,0.57498878,38.31,45.96,3385.8,4171.2
9.9195,33599.0,4050398.0,1.09581506,1.04751122,0.04830374,0.00644212,0.55486935,0.50032157,0.61808938,38.31,45.96,3387.2,4163.2
9.9188,33600.0,4083998.0,1.05535388,1.00668919,0.04866457,0.00624644,0.58059227,0.50032234,0.45652568,38.31,45.96,3387.5,4155.3
9.9169,33598.0,4117596.0,1.10719323,1.05907905,0.04811433,0.01146420,0.56464803,0.50032079,0.58563942,38.31,45.96,3387.9,4147.7
9.7548,57329.0,4174925.0,1.06262052,1.01427567,0.04834471,0.00716558,0.53446639,0.41391921,0.38634437,39.78,45.96,5877.0,4164.5
9.7279,56688.0,4231613.0,1.07320142,1.02503109,0.04817031,0.00636388,0.55082422,0.41019464,0.60173452,39.72,45.96,5827.4,4180.4
9.9227,33600.0,4265213.0,1.10851228,1.06040585,0.04810647,0.00900455,0.54401803,0.50032234,0.36433777,38.31,45.96,3386.2,4172.7
9.9168,33599.0,4298812.0,1.05499673,1.00656903,0.04842768,0.00869392,0.47692546,0.50032157,0.51924330,38.31,45.96,3388.1,4165.2
9.9205,33600.0,4332412.0,1.05071664,1.00238431,0.04833238,0.00742993,0.46334371,0.50032234,0.39050868,38.31,45.96,3386.9,4157.7
