time,text_tokens,total_consumed_tokens,total_loss,reduced_llm_loss,reduced_balancing_loss,loss,maxvio,efficient_attn_ratio,grad_norm,max_memory_GB,reserved_memory_GB,tgs,e2e_tgs
8.4005,33599.0,3685148.0,1.10788572,1.05949926,0.04838643,0.00742817,0.60940295,0.50032157,0.49675396,34.53,40.94,3999.6,4516.4
8.5186,48544.0,3733692.0,1.09009469,1.04188144,0.04821338,0.00812904,0.54351789,0.48607236,0.39345077,36.02,40.94,5698.6,4528.6
8.3478,46566.0,3780258.0,1.06298876,1.01442349,0.04856532,0.00671514,0.51482701,0.46407518,0.36792141,35.82,40.94,5578.2,4539.1
8.3595,60905.0,3841163.0,1.10858989,1.06036913,0.04822075,0.00815391,0.52524024,0.44141209,0.41126174,37.27,40.94,7285.7,4566.4
8.5780,63579.0,3904742.0,1.11667836,1.06852484,0.04815352,0.00879703,0.50190258,0.47332436,0.40312931,37.55,40.94,7411.9,4595.1
8.4031,33599.0,3938341.0,1.10692859,1.05863094,0.04829770,0.00668191,0.50364560,0.50032157,0.48040026,34.53,40.94,3998.4,4589.2
8.2634,44855.0,3983196.0,1.10387301,1.05578911,0.04808376,0.01028696,0.45493424,0.45092052,0.61427516,35.64,40.94,5428.2,4597.2
8.3860,33603.0,4016799.0,1.06915784,1.02056694,0.04859095,0.00936066,0.50325763,0.50032467,0.59266591,34.53,40.94,4007.0,4591.5
8.4038,33599.0,4050398.0,1.09738445,1.04910564,0.04827875,0.00644012,0.45273733,0.50032157,0.49885279,34.53,40.94,3998.1,4585.9
8.3874,33600.0,4083998.0,1.05454576,1.00584805,0.04869765,0.00625050,0.44029015,0.50032234,0.55697483,34.53,40.94,4006.0,4580.4
8.4001,33598.0,4117596.0,1.10859597,1.06046116,0.04813466,0.01144332,0.43382677,0.50032079,0.71364093,34.53,40.94,3999.7,4575.0
8.1981,57329.0,4174925.0,1.06849980,1.02023315,0.04826666,0.00721788,0.41527122,0.41391921,0.78202778,36.91,40.94,6993.0,4596.8
8.1602,56688.0,4231613.0,1.07720852,1.02912521,0.04808331,0.00639108,0.42499468,0.41019464,0.63034397,36.85,40.94,6946.9,4617.7
8.3904,33600.0,4265213.0,1.11001492,1.06202507,0.04798988,0.00899403,0.44410595,0.50032234,0.65840036,34.53,40.94,4004.6,4612.1
8.3866,33599.0,4298812.0,1.05382299,1.00566947,0.04815360,0.00870319,0.42077368,0.50032157,0.63494837,34.53,40.94,4006.3,4606.6
8.3847,33600.0,4332412.0,1.04824865,1.00015700,0.04809167,0.00739632,0.40109366,0.50032234,0.44934893,34.53,40.94,4007.3,4601.3
8.1545,39591.0,4372003.0,1.06507480,1.01687467,0.04820018,0.00810006,0.56434071,0.44466519,0.46045631,35.12,40.94,4855.1,4603.4
8.2929,45118.0,4417121.0,1.05933917,1.01132488,0.04801431,0.00675014,0.35439342,0.45176876,0.46465915,35.67,40.94,5440.5,4610.7
8.4568,33600.0,4450721.0,1.04116428,0.99277496,0.04838937,0.00912821,0.39006457,0.50032234,0.36504912,34.53,40.94,3973.1,4603.0
8.3645,46650.0,4497371.0,1.06112409,1.01299942,0.04812485,0.00741848,0.41319895,0.46561974,0.40919194,35.83,40.94,5577.1,4611.3
8.1696,40337.0,4537708.0,1.06824303,1.02016163,0.04808141,0.00712930,0.38212991,0.44241348,0.34104398,35.20,40.94,4937.5,4614.0
8.4889,48294.0,4586002.0,1.05698216,1.00884402,0.04813815,0.00628655,0.33530885,0.48288980,0.34936807,35.99,40.94,5689.1,4623.2
7.9440,51576.0,4637578.0,1.04828131,1.00014436,0.04813691,0.00912427,0.48314771,0.38551170,0.32280713,36.33,40.94,6492.4,4638.0
8.0815,55656.0,4693234.0,1.03293240,0.98487669,0.04805565,0.00714024,0.33680964,0.40270290,0.32884258,36.74,40.94,6886.8,4656.0
8.1704,55182.0,4748416.0,1.08332694,1.03546178,0.04786515,0.00999946,0.36290473,0.41704583,0.33078164,36.69,40.94,6753.9,4672.9
8.3745,47043.0,4795459.0,1.05796087,1.00984228,0.04811854,0.00869760,0.35333771,0.46871305,0.38013250,35.86,40.94,5617.4,4680.6
8.3851,33600.0,4829059.0,1.06395805,1.01568747,0.04827053,0.00713988,0.32316965,0.50032234,0.41104493,34.53,40.94,4007.1,4675.1
9.0862,33598.0,4862657.0,1.05957866,1.01137686,0.04820182,0.00926841,0.33218524,0.50032079,0.48405150,34.53,40.94,3697.7,4666.5
8.4593,47828.0,4910485.0,1.06661522,1.01852047,0.04809479,0.01075381,0.30796045,0.47726825,0.55268770,35.94,40.94,5653.9,4674.5
8.5451,49028.0,4959513.0,1.05315816,1.00514126,0.04801696,0.00697376,0.28482586,0.49256337,0.61083943,36.07,40.94,5737.5,4683.0
8.3965,33600.0,4993113.0,1.02305686,0.97456217,0.04849466,0.01012670,0.34422964,0.50032234,0.52879786,34.53,40.94,4001.6,4677.7
8.4042,33600.0,5026713.0,1.05767310,1.00962591,0.04804713,0.00719652,0.36452121,0.50032234,0.39260742,34.53,40.94,3998.0,4672.3
8.1224,55163.0,5081876.0,1.04789484,0.99987310,0.04802180,0.00897867,0.37597209,0.40627337,0.37140360,36.69,40.94,6791.4,4688.2
8.5919,49508.0,5131384.0,1.09461117,1.04668248,0.04792853,0.00597708,0.45442754,0.49943423,0.43927422,36.12,40.94,5762.2,4696.6
8.1720,39748.0,5171132.0,1.06719124,1.01921356,0.04797785,0.00661272,0.38881773,0.44410518,0.39979941,35.14,40.94,4863.9,4697.9
